team_name,player_name,starting_position,xT_value,minutes_played
Internacional,Victor Gabriel,Sub,0.2618057238862356,805
Ceara,Lourenço,Sub,0.26127756989695394,842
Palmeiras,Benedetti,Sub,0.2514885578295297,200
Fortaleza,Emanuel Brítez,DR,0.25088640817119656,372
Juventude,Abner,DC,0.243059305162841,1099
Red Bull Bragantino,Cleiton,GK,0.242647438604434,1897
Santos FC,Gabriel Veron,Sub,0.242010395238096,683
Internacional,Alan Benítez,Sub,0.24088102949766563,324
Red Bull Bragantino,Lucas Barbosa,Sub,0.2404254614132628,1285
Botafogo RJ,Nathan Fernandes,Sub,0.23978517307513597,384
Juventude,Jean Carlos,Sub,0.23443853031450784,233
Vitoria,Felipe Cardoso,Sub,0.2338535891334635,101
Santos FC,Leonardo Godoy,Sub,0.23234105543600755,469
Cruzeiro,Eduardo,Sub,0.22742678392186289,631
Bahia,Michel Araújo,Sub,0.22723869047122977,376
Palmeiras,Marcos Rocha,Sub,0.22717551980329317,201
Corinthians,João Pedro,Sub,0.22714698280898005,267
Internacional,Ronaldo,Sub,0.22511336359816816,773
Fluminense,Hércules,DMC,0.22453384853779657,1064
Red Bull Bragantino,Gustavinho,Sub,0.22274925605323181,271
Santos FC,Gabriel Brazão,GK,0.22000095869476327,1995
Cruzeiro,Cássio,GK,0.21764373422356678,2101
Bahia,Cauly,Sub,0.2141521314844153,761
Red Bull Bragantino,Agustín Sant'Anna,Sub,0.21379079975563348,416
Fluminense,Everaldo,Sub,0.21273144344516468,876
Mirassol,Daniel Borges,Sub,0.21107695140262878,427
Internacional,Fernando,DMC,0.2078575475371818,472
Ceara,Pedro Raul,FW,0.207803389547999,1904
Ceara,Marcos Victor,Sub,0.20538224682142667,300
Sport Recife,Romarinho,Sub,0.20453028059973113,205
Corinthians,Hugo Souza,GK,0.20130703231301242,1635
Flamengo,Matías Viña,Sub,0.2005423061008588,213
Vasco da Gama,Léo Jardim,GK,0.19928802852634164,1897
Ceara,Aylon,Sub,0.19830946082361456,666
Fortaleza,Matheus Rossetto,Sub,0.19806194288476928,692
Sao Paulo,Robert Arboleda,DC,0.1953815035706388,1330
Gremio,Riquelme Freitas,AMC,0.19521563076541634,411
Corinthians,Vitinho,Sub,0.1936575971625085,66
Fortaleza,João Ricardo,GK,0.19078796757019661,1188
Santos FC,Aderlan,Sub,0.1869531092949853,132
Vitoria,Renato Kayzer,FW,0.186206155023603,1166
Juventude,Wilker Ángel,Sub,0.1855785481594882,1289
Cruzeiro,Dudu,AMC,0.18285832311152755,388
Mirassol,Walter,Sub,0.18251854699735676,1315
Sport Recife,Caíque França,GK,0.1821685484565483,1222
Sao Paulo,Rafael,GK,0.18113561914087742,2142
Sport Recife,Léo Pereira,Sub,0.18080755549739613,487
Vasco da Gama,David,Sub,0.1801380948011325,443
Botafogo RJ,Marçal,Sub,0.17980606349231493,376
Palmeiras,Khellven,Sub,0.1790882692010113,179
Fortaleza,Moisés,Sub,0.17727427909846855,155
Santos FC,João Basso,Sub,0.171920644253902,564
Mirassol,Chico,AMC,0.17170391832032186,282
Gremio,Matías Arezo,FW,0.17018930125632104,323
Palmeiras,Murilo,DC,0.16946627662317854,547
Santos FC,Luisão,Sub,0.16898709222911878,474
Fortaleza,Bruno Pacheco,Sub,0.1682372009453773,450
Sport Recife,Lucas Cunha,Sub,0.16745652719438886,472
Botafogo RJ,Newton,Sub,0.16512100496528048,609
Red Bull Bragantino,Gustavo Marques,DC,0.1637306423921736,423
Fluminense,Fábio,GK,0.1635215032292977,1911
Gremio,Camilo,DMC,0.1633925552987353,678
Bahia,Marcos Felipe,Sub,0.16291066452482333,1127
Fortaleza,Guillermo Fernández,MC,0.16238541492538783,329
Palmeiras,Raphael Veiga,AMC,0.1602340484038582,417
Sao Paulo,Pablo Maia,MC,0.15970196786964821,703
Mirassol,Felipe Jonatan,DL,0.15937634894211739,83
Atletico MG,Dudu,AMC,0.15745586562594055,388
Vitoria,Wellington Rato,FW,0.15740497681966717,245
Santos FC,Gil,DC,0.1557271735951236,807
Sao Paulo,Matheus Alves,Sub,0.15352748690540385,438
Palmeiras,Micael,DC,0.1530734193087836,910
Atletico MG,Biel,AMR,0.15235907461550738,167
Mirassol,Fabrício Daniel,Sub,0.15235664728439907,359
Vasco da Gama,Loide Augusto,Sub,0.1496700811088585,238
Internacional,Anthoni,Sub,0.1488674889603039,1268
Juventude,Jandrei,Sub,0.1480511853182515,407
Juventude,Gabriel Taliari,FW,0.14777806912190738,1256
Ceara,Fernando Miguel,Sub,0.1473658759625258,759
Bahia,Iago Borduchi,Sub,0.146830215162793,331
Corinthians,Léo Mana,DR,0.14378878016973382,247
Sport Recife,Christian Ortíz,Sub,0.14336202348732136,226
Fluminense,Facundo Bernal,Sub,0.14238238940928652,792
Internacional,Diego Rosa,Sub,0.14209054386775288,236
Gremio,Fabián Balbuena,DC,0.14194713674602177,249
Sport Recife,Ramon Menezes,Sub,0.14145711399265562,670
Sao Paulo,André Silva,Sub,0.14073176262322,1529
Botafogo RJ,Kaio Pantaleão,DC,0.14026669536290431,543
Fluminense,Rubén Lezcano,Sub,0.13896805202738927,59
Gremio,Jemerson,DC,0.13714929204036458,863
